deprel,rho_micro_index,rho_macro,rho_micro_matched_loo,iteration
case,0.10907873427422203,0.2937421264558811,0.23373752222617755,63
amod,0.03363077974848486,0.17185484157325973,0.24589809956232375,63
nsubj,0.13343652800879616,0.3949938404751764,0.38325797699654485,64
obj,0.075445368677121,0.13542658703164542,0.2482945712420211,64
case,0.10218829541863746,0.26746851532189586,0.35178438274546614,64
amod,0.08144788120729649,0.2246296741541804,0.19941199565092807,64
nsubj,0.12433205839688198,0.32551999375443663,0.2526877918146196,65
obj,0.13055855582357923,0.41718586438110106,0.42231420259332814,65
case,0.057504856698451116,0.1337555083734401,0.2710447773501114,65
amod,0.09625903864859381,0.24201910374370525,0.310724290760449,65
nsubj,0.11066819346904964,0.3424115155483227,0.37725500331393264,66
obj,0.08950668365941417,0.392082595516072,0.3337260343786909,66
case,0.0906156343756844,0.2455768569758207,0.28261590787497526,66
amod,0.03572779950914213,0.12819240786498634,0.1733874734586265,66
nsubj,0.08006433681213136,0.24377425006180073,0.31906969008853836,67
obj,0.08110208026195018,0.18492401719130083,0.24767444253042026,67
case,0.17469122970367199,0.44928267608679984,0.26844618216818716,67
amod,0.0795604196672554,0.24214191909406016,0.3190456989455948,67
nsubj,0.08499514626438978,0.16878517346176422,0.29430289281837624,68
obj,0.07029931897406917,0.3368734090409749,0.3294522684041063,68
case,0.0625826656914712,0.2250979561464377,0.34159352841798646,68
amod,0.07219264131084437,0.28032285398043066,0.2628833150101315,68
nsubj,0.08595547903615922,0.3424258447775091,0.4046429603590016,69
obj,0.09243943117001259,0.3905945623191564,0.30111208894519126,69
case,0.08112497462071269,0.22014455581871314,0.2681290756576498,69
amod,0.07978742554813656,0.1690608659644857,0.21834773733806773,69
nsubj,0.10954900518632663,0.17755789536976999,0.3599517136196762,70
obj,0.11100812801519302,0.3489844588945175,0.4121538374387277,70
case,0.06113151710902479,0.2959920847681534,0.25185868189811894,70
amod,0.07817055591865624,0.2843516268745481,0.22018784076586034,70
nsubj,0.10827485831914241,0.2869908717236962,0.40431185983653356,71
obj,0.07285630304702446,0.1777896073865565,0.15108881061359938,71
case,0.12227687441104533,0.3862814813918233,0.37174770290065956,71
amod,0.09759805217321105,0.36138932776915567,0.3266249965127912,71
nsubj,0.13897020031983384,0.3935771329039909,0.4124539571374433,72
obj,0.049849744159489374,0.17789418927578904,0.1575273137544879,72
case,0.07490471338343285,0.28841511002434184,0.2984554063246814,72
amod,0.08697439580602939,0.2781198410342973,0.35169690161701156,72
nsubj,0.09206032406156794,0.2237463271531408,0.26596633129077324,73
obj,0.053699560381085795,0.26992635306986107,0.24945796678673116,73
case,0.10260208154624975,0.34808234259644927,0.3879300003435232,73
amod,0.05780323484031782,0.23137460332052917,0.2818522216876556,73
nsubj,0.10395034774681126,0.35874296227524,0.39519091727710315,74
obj,0.09235228471652006,0.2116375275422634,0.27748417897931293,74
case,0.0962953755095412,0.23813532327918704,0.30983739365904717,74
amod,0.13243641595005817,0.33990993754733984,0.2036184832674212,74
nsubj,0.04440645513815334,0.0661507566011248,0.18418872370700043,75
obj,0.16635159695694648,0.38062511597483245,0.26666828995555936,75
case,0.12028448965199402,0.40461551970579396,0.413132182579239,75
amod,0.052174840500889094,0.21265778056967868,0.3024548391259983,75
nsubj,0.10288642440124965,0.2952023699017051,0.31079574504036733,76
obj,0.09199720185352112,0.21755825879351587,0.19641087132308885,76
case,0.08840955071795778,0.267676588726796,0.38233141990150515,76
amod,0.09223670742417976,0.31981266439982037,0.4226633904321978,76
nsubj,0.10126010485240251,0.40315748481105507,0.2940153081135375,77
